"plot","subplot","diversity","biomass"
1,1,1.3408263172023,115.025245450108
1,1,7.33971346099861,168.651954105192
1,1,1.75559545401484,123.335292742542
1,1,3.85777030698955,137.02999161184
1,1,7.25592900672927,165.870760275648
1,2,5.66851872275583,176.383806026635
1,2,4.35920671536587,161.372966432616
1,2,3.99828025908209,156.671076716833
1,2,3.90794439613819,157.176707726384
1,2,3.82103947247379,153.905376107621
1,3,3.98818438244052,135.744327046246
1,3,3.217110266909,126.655919197776
1,3,3.09042607131414,130.598827371955
1,3,6.04743520123884,148.123251820995
1,3,5.34328964585438,146.737123855123
1,4,2.12000965583138,127.221796557457
1,4,4.26793268485926,156.046455496619
1,4,7.1485272180289,184.33545218801
1,4,2.67840491421521,134.413319025636
1,4,7.95004688482732,192.512413292153
1,5,6.86300486349501,153.303651546163
1,5,5.48871796880849,139.770757496364
1,5,5.14567166264169,139.375747827879
1,5,3.41903241607361,128.146416242675
1,5,2.241950010648,116.191693242632
1,6,3.82332763564773,129.839358011214
1,6,4.03787251608446,134.115977594549
1,6,4.75664864573628,138.102736365069
1,6,6.46209048456512,149.144604428541
1,6,5.86596354213543,144.40117772
2,1,1.33908646460623,89.7076795329104
2,1,8.16594967758283,59.127995602711
2,1,9.22032216261141,57.3929363243213
2,1,4.48846668447368,72.1160096030873
2,1,3.06302697095089,81.4467431427119
2,2,5.84287235233933,62.6857707579289
2,2,9.74701794539578,41.8943315795201
2,2,9.26786961685866,44.6139901480683
2,2,3.22720535146073,72.7688724192066
2,2,9.59343988751061,38.6316923580579
2,3,8.14420718839392,49.9332418138518
2,3,8.82394379307516,49.440539586913
2,3,6.45070226304233,55.2338763656505
2,3,4.15912381140515,70.2336444903944
2,3,7.33798883622512,55.9744280101925
2,4,7.9005749959033,64.9519235113235
2,4,8.05718986759894,62.7599178335371
2,4,5.36895929975435,74.5459819437753
2,4,4.14655455457978,82.7535622647449
2,4,9.0052387889009,56.8123903783996
2,5,6.67219890956767,80.6062639410067
2,5,7.04218828189187,80.9753548096554
2,5,8.44039290375076,78.4092052433446
2,5,9.24290062091313,76.5066299217652
2,5,9.19104421883821,82.1148739504253
2,6,2.01198151265271,97.8369251476617
2,6,7.30795988230966,89.6465935606646
2,6,1.71028423495591,97.9410622140213
2,6,7.94407561072148,79.8122113786806
2,6,6.53920662356541,85.81137758506
3,1,4.25928489514627,139.184712596023
3,1,8.73875455907546,186.763080572449
3,1,9.74222313426435,191.035201650079
3,1,1.22542803362012,108.675333594598
3,1,6.02558601042256,154.20721603899
3,2,5.96100024878979,128.315436074525
3,2,1.82645772723481,111.173729679643
3,2,4.01929359394126,121.274237838713
3,2,7.75357465748675,128.378079459536
3,2,6.72270709718578,132.072603930269
3,3,5.27572920545936,156.012358269024
3,3,2.64068969013169,132.316651103879
3,3,8.41065203584731,184.555861675997
3,3,9.46317417384125,189.254869012069
3,3,4.81217420706525,152.138737821466
3,4,3.47106570983306,118.171434062781
3,4,2.8130542752333,114.700000140524
3,4,7.61431345809251,157.315503873802
3,4,6.34470130410045,144.300858112828
3,4,2.47628926672041,114.797038617886
3,5,6.64883164293133,136.683205925811
3,5,4.25121763814241,118.990013004509
3,5,6.75635232683271,133.71469410603
3,5,9.64337852480821,149.861031169318
3,5,1.18216340290383,95.1516775005548
3,6,1.62569155567326,108.173929548953
3,6,3.79651760705747,121.876483953735
3,6,3.5134948764462,122.850434859489
3,6,5.17382662626915,129.000885143874
3,6,4.76668684231117,125.318347017483
4,1,1.97319081076421,119.978937358022
4,1,3.09709591208957,124.036357629162
4,1,9.3812847379595,172.589341148339
4,1,3.0959894945845,125.812683648658
4,1,1.91864139959216,118.456252069683
4,2,1.6422530207783,108.938280163254
4,2,7.3654647609219,138.020697175939
4,2,9.99570921366103,151.374368673702
4,2,1.13502871966921,103.871864272852
4,2,7.34830748708919,138.868281339866
4,3,5.59141319943592,141.530077577064
4,3,2.26239351648837,119.429266877135
4,3,6.75749566033483,147.003392095822
4,3,3.8274636794813,127.844954802687
4,3,1.45175744243897,117.602017679023
4,4,6.71865159086883,158.467253501627
4,4,4.91500982199796,140.022231381206
4,4,8.61958627984859,166.821714369971
4,4,2.54216945613734,118.403546329448
4,4,5.42793102818541,141.805526436268
4,5,9.69503642665222,166.20398334169
4,5,8.51653217594139,161.603421762266
4,5,8.10990196140483,155.631834905115
4,5,4.21752549079247,129.207579484802
4,5,8.55712778237648,161.357586519248
4,6,1.08014193060808,101.544957180774
4,6,5.32563748140819,113.857483989107
4,6,8.84685871144757,134.584169763657
4,6,9.40598040423356,132.363944291926
