"plot","block","diversity","biomass"
1,1,6.1595083901193,58.9391796786173
2,1,5.16146156727336,65.7292634318911
3,1,7.21196434670128,66.4826498346218
1,2,1.89334761118516,21.7547409931387
2,2,3.16804943908937,25.4666063303681
3,2,7.45064552500844,38.7522762171896
3,3,7.65721222502179,51.0153740851373
1,4,8.37214689073153,47.0386941428887
2,4,4.43705383385532,27.2166070181682
3,4,6.01643724064343,46.5690313457715
1,5,4.68421519943513,24.4216475572803
2,5,9.01395560987294,47.6470013291249
3,5,4.29099681368098,15.7848267976815
1,6,3.07141320127994,16.4690488957154
2,6,8.48635843512602,49.363071158164
3,6,4.9907300514169,26.9338018815266
1,7,8.29062098008581,50.4812889314131
2,7,6.70679635484703,51.8138515600533
3,7,3.93878635275178,33.1587269588594
1,8,7.36114637088031,61.1127461069033
2,8,9.99095900473185,83.9965694443944
3,8,4.32542921928689,50.0814464861114
1,9,4.05373359564692,51.9526689453868
2,9,8.18911526515149,65.2737650795166
3,9,7.62408536998555,55.7152815008043
1,10,2.21939381258562,34.644793992394
2,10,2.88895513257012,35.2766959473564
3,10,8.71562606561929,61.1756111070474
