"plot","block","diversity","biomass"
1,1,9.59725823206827,44.815931799507
2,1,7.57737714541145,42.1712839544585
3,1,1.31760005303659,28.5535190171513
1,2,4.9468894561287,22.3060003868956
2,2,9.71536050713621,37.6107258082063
3,2,2.6212893310003,20.0798516378288
3,3,3.59863429889083,30.314885319566
1,4,8.17399188736454,42.6271604299761
2,4,8.80936015537009,36.6990946833798
3,4,1.10898547386751,19.4036481211238
1,5,7.00721361325122,23.0453930818176
2,5,4.80021441518329,19.6197552176208
3,5,2.47643896332011,13.8754960388664
1,6,9.65160448476672,37.0501133176481
2,6,5.70554386475123,25.1679540651869
3,6,1.71205456834286,17.859620388128
1,7,7.72607359546237,32.8736853557938
2,7,1.84049760154448,23.5111467232233
3,7,4.41850761789829,28.9702018999704
1,8,5.52429010998458,41.970179636426
2,8,9.22020246065222,48.7863082089711
3,8,5.53570607560687,41.0163925073669
1,9,2.75118370959535,12.9026141087687
2,9,4.70114117884077,16.841263666733
3,9,5.35186109109782,20.5197372749069
1,10,7.72965936316177,37.283940100101
2,10,2.67245443351567,24.4083105258644
3,10,2.77274278388359,22.8282530925498
